FECHAINGRESO	CODIGO	DESCRIPCION	CAPITULO	DESCRIPCIONCAPITULO	PARTIDA	DESCRIPCIONPARTIDA	SUBPARTIDA	NECESITACODIGOARANCEL	MERCANCIAPELIGROSA	
2025/09/03 15:49:39	040700	HUEVOS DE AVE CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS. 	04	LECHE Y PRODUCTOS LÁCTEOS; HUEVOS DE AVE; MIEL NATURAL; PRODUCTOS	07	HUEVOS DE AVES CON CASCARA(CASCARON) FRESCOS;  CONSERVADOS O COCIDOS	00	NO	NO	
2025/09/03 14:59:54	440200	CARBON VEGETAL (INCLUIDO EL DE CASCARAS O DE CAROZOS (HUESOS) DE FRUTAS), AUNQUE ESTE AGLOMERADO. 	44	MADERA, CARBÓN VEGETAL Y MANUFACTURAS DE MADERA	02	CARBON VEGETAL (INCLUIDO EL DE CASCARAS O DE HUESOS DE FRUTAS);  AUNQUE ESTE A	00	NO	NO	
2025/09/03 16:38:27	440110	MADERA 	44	MADERA, CARBÓN VEGETAL Y MANUFACTURAS DE MADERA	01	LE?A; MADERA EN PLAQUITAS O PARTICULAS; ASERRIN;  DESPERDICIOS Y DESECHOS;  D	10	NO	NO	
2025/09/03 08:37:16	271129	LOS DEMAS GASES DE PETROLEO	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	29	NO	SI	
2025/09/03 08:27:37	271114	ETILENO, PROPILENO, BUTILENO, BUTADIENO	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	14	NO	SI	
2025/09/03 08:26:19	271113	GAS BUTANO	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	13	NO	SI	
2025/09/03 08:25:21	271112	GAS PROPANO	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	12	NO	SI	
2025/09/03 08:24:20	271121	GAS NATURAL	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	21	NO	SI	
2025/09/03 08:23:15	271111	GAS NATURAL LICUADO	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	11	GAS DE PETROLEO Y DEMAS HIDROCARBUROS GASEOSOS	11	NO	SI	
2025/05/14 14:45:26	280130	FLUOR; BROMO	28	PRODUCTOS QUÍMICOS INORGÁNICOS; COMPUESTOS INORGÁNICOS U ORGÁNICOS DE	01	FLUOR;  CLORO;  BROMO Y YODO	30	NO	NO	
2025/05/14 14:44:04	280120	YODO	28	PRODUCTOS QUÍMICOS INORGÁNICOS; COMPUESTOS INORGÁNICOS U ORGÁNICOS DE	01	FLUOR;  CLORO;  BROMO Y YODO	20	NO	SI	
2025/05/14 14:43:24	280110	CLORO	28	PRODUCTOS QUÍMICOS INORGÁNICOS; COMPUESTOS INORGÁNICOS U ORGÁNICOS DE	01	FLUOR;  CLORO;  BROMO Y YODO	10	NO	SI	
2024/10/14 10:56:08	271091	DESECHOS DE ACEITES	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	10	ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EN PESO SUPERIOR O IGUAL AL 70 %, EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE.	91	NO	NO	
2024/10/14 10:52:56	271020	ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EXCEPTO LOS ACEITES CRUDOS Y PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EN PESO SUPERIOR O IGUAL AL 70 % EN PESO, EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE, QUE CONTENGAN BIODIESEL EXCEPTO LOS DESECHOS DE ACEITES	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	10	ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETROLEO O DE MINERALES BITUMINOSOS EN PESO SUPERIOR O IGUAL AL 70 %, EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE.	20	NO	NO	
2024/09/25 19:56:45	271019	ACEITES MEDIANOS Y PESADOS Y SUS PREPARACIONES	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	10	Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiésel y los desechos de aceites	19	SI	NO	
2024/05/21 13:53:25	240311	TABACO PARA PIPA DE AGUA	24	TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS	03	LOS DEMAS TABACOS Y SUCEDANEOS DEL TABACO;  ELABORADOS; TABACO HOMOGENEIZADO	11	.	 	
2024/05/21 13:52:35	240310	TABACO PARA FUMAR, INCLUSO CON SUCEDANEOS DE TABACO EN CUALQUIER PROPORCIÓN	24	TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS	03	LOS DEMAS TABACOS Y SUCEDANEOS DEL TABACO;  ELABORADOS; TABACO HOMOGENEIZADO	10	.	 	
2024/05/21 13:51:46	240290	LOS DEMAS CIGARRILLOS DE TABACO O DE SUCEDANEOS DEL TABACO	24	TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS	02	CIGARROS O PUROS (INCLUSO DESPUNTADOS);  PURITOS Y CIGARRILLOS;  DE TABACO O D	90	.	 	
2024/05/21 13:50:55	240220	CIGARRILLOS DE TABACO NEGRO	24	TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS	02	CIGARROS O PUROS (INCLUSO DESPUNTADOS);  PURITOS Y CIGARRILLOS;  DE TABACO O D	20	.	 	
2024/05/21 13:50:01	240210	CIGARROS O PUROS (INCLUSO DESPUNTADOS);  PURITOS Y CIGARRILLOS; QUE CONTENGAN TABACO	24	TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS	02	CIGARROS O PUROS (INCLUSO DESPUNTADOS);  PURITOS Y CIGARRILLOS;  DE TABACO O D	10	.	 	
