FECHAINGRESO	TIPO	CODIGO	CAPITULO	PARTIDA	APLICASICETAC	NECESITASUBPARTIDA	HIDROCARBURO	UNIDADGALONES	IMPOCONSUMO	MERCANCIAPELIGROSA	CLASEDIVISION	PELIGROSECUNDARIO	GRUPOEMBALAJEENVASE	NOMBREYDESCRIPCION	ALERTA	
2025/10/20 11:41:47	CP	3005	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3005 - 6.1 - PLAGUICIDA A BASE DE TIOCARBAMATO; LÍQUIDO; TÓXICO; INFLAMABLE; DE	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE TIOCARBAMATO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:42:23	CP	2998	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2998 - 6.1 - PLAGUICIDA A BASE DE TRIAZINA; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE TRIAZINA, LÍQUIDO, TÓXICO	 	
2025/10/20 11:42:48	CP	2997	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2997 - 6.1 - PLAGUICIDA A BASE DE TRIAZINA; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUNT	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE TRIAZINA, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:43:12	CP	2996	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2996 - 6.1 - PLAGUICIDA ORGANOCLORADO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA ORGANOCLORADO, LÍQUIDO, TÓXICO	 	
2025/10/22 09:42:01	CP	2995	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2995 - 6.1 - PLAGUICIDA ORGANOCLORADO; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUNTO DE	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA ORGANOCLORADO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/22 09:42:37	CP	2994	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2994 - 6.1 - PLAGUICIDA ARSENICAL; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA ARSENICAL, LÍQUIDO, TÓXICO	 	
2025/10/22 09:43:25	CP	2993	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2993 - 6.1 - PLAGUICIDA ARSENICAL; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUNTO DE INFL	 	 	NO	 	NO	SI	6.1	3	III	PLAGUICIDA ARSENICAL, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/22 09:44:29	CP	2992	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2992 - 6.1 - PLAGUICIDA A BASE DE CARBAMATO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE CARBAMATO, LÍQUIDO, TÓXICO	 	
2025/10/22 09:44:52	CP	2991	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	2991 - 6.1 - PLAGUICIDA A BASE DE CARBAMATO; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUN	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE CARBAMATO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/22 09:45:15	CP	2990	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	2990 - 9 - APARATOS DE SALVAMENTO AUTOINFLABLES	 	 	NO	 	NO	SI	9	 	 	APARATOS DE SALVAMENTO AUTOINFLABLES	 	
2025/10/22 09:45:38	CP	2989	CLASE 4 - SÓLIDOS INFLAMABLES	2989 - 4.1 - FOSFITO DIBÁSICO DE PLOMO	 	 	NO	 	NO	SI	4.1	 	II, III	FOSFITO DIBÁSICO DE PLOMO	 	
2025/10/22 09:46:01	CP	2988	CLASE 4 - SÓLIDOS INFLAMABLES	2988 - 4.3 - CLOROSILANOS QUE REACCIONAN CON EL AGUA; INFLAMABLES; CORROSIVOS; N	 	 	NO	 	NO	SI	4.3	3, 8	I	CLOROSILANOS QUE REACCIONAN CON EL AGUA, INFLAMABLES, CORROSIVOS, N.E.P.	 	
2025/10/22 09:46:28	CP	2987	CLASE 8 - SUSTANCIAS CORROSIVAS	2987 - 8 - CLOROSILANOS; CORROSIVOS; N.E.P.	 	 	NO	 	NO	SI	8	 	II	CLOROSILANOS, CORROSIVOS, N.E.P.	 	
2025/10/22 09:46:54	CP	2986	CLASE 8 - SUSTANCIAS CORROSIVAS	2986 - 8 - CLOROSILANOS; CORROSIVOS; INFLAMABLES; N.E.P.	 	 	NO	 	NO	SI	8	3	II	CLOROSILANOS, CORROSIVOS, INFLAMABLES, N.E.P.	 	
2025/10/22 09:47:18	CP	2985	CLASE 3 - LÍQUIDOS INFLAMABLES	2985 - 3 - CLOROSILANOS; INFLAMABLES; CORROSIVOS; N.E.P.	 	 	NO	 	NO	SI	3	8	II	CLOROSILANOS, INFLAMABLES, CORROSIVOS, N.E.P.	 	
2025/10/22 09:47:41	CP	2984	CLASE 5 - SUSTANCIAS COMBURENTES Y PERÓXIDOS ORGÁNICOS	2984 - 5.1 - PERÓXIDO DE HIDRÓGENO EN SOLUCIÓN ACUOSA CON UN MÍNIMO DEL 8% PERO	 	 	NO	 	NO	SI	5.1	 	III	PERÓXIDO DE HIDRÓGENO EN SOLUCIÓN ACUOSA con un mínimo del 8 % pero menos del 20 % de peróxido de hidrógeno (estabilizada según sea necesario)	 	
2025/10/22 09:48:06	CP	2983	CLASE 3 - LÍQUIDOS INFLAMABLES	2983 - 3 - ÓXIDO DE ETILENO Y ÓXIDO DE PROPILENO EN MEZCLA CON UN MÁXIMO DEL 30%	 	 	NO	 	NO	SI	3	6.1	I	ÓXIDO DE ETILENO Y ÓXIDO DE PROPILENO, MEZCLA DE, con un máximo del 30 % de óxido de etileno	 	
2025/10/22 09:48:31	CP	2978	CLASE 7 - MATERIAL RADIACTIVO	2978 - 7 - MATERIALES RADIACTIVOS; HEXAFLUORURO DE URANIO; NO FISIONABLE O FISIO	 	 	NO	 	NO	SI	7	6.1, 8	 	MATERIALES RADIACTIVOS, HEXAFLUORURO DE URANIO, no fisionable o fisionable exceptuado	 	
2025/10/22 09:48:56	CP	2977	CLASE 7 - MATERIAL RADIACTIVO	2977 - 7 - MATERIALES RADIACTIVOS; HEXAFLUORURO DE URANIO; FISIONABLE	 	 	NO	 	NO	SI	7	6.1, 8	 	MATERIALES RADIACTIVOS, HEXAFLUORURO DE URANIO, FISIONABLE	 	
